,en,ta
1215,"Immediately after the SAARC summit Karzai flew to New Delhi on Monday to further strengthen ties with India.
","சார்க் மாநாடுகளின் பின்னர் உடனடியாகவே இந்தியாவுடன் உறவுகளை மேலும் பலப்படுத்திக்கொள்ள திங்கட் கிழமை கர்ஸாய் புது டில்லி பயணமானார்.
"
1216,"It would be wise on the part of little superstar to think of those who scaled the heights only to disappear into anonymity after a drastic fall.
","அளவுக்கு மீறி ஆட்டம் போட்டவர்கள் அட்ரஸ் இல்லாமல் போனதை லிட்டில் சூப்பர் ஸ்டார் ஒருமுறை நினைவுப்படுத்திக் கொள்வது நல்லது.
"
1217,"Since leaving his post in the Polish government, Belka has occupied a central post in the US-led civilian authority in Iraq with responsibility for economic and business reconstruction.
","போலந்து அரசாங்கத்தில் அவரது பதவியை விட்ட பின்னரை, பெல்கா ஈராக்கில் அமெரிக்கா தலைமையில் பொருளாதார வர்த்தக சீரமைப்பிற்கான பொறுப்பு வகிக்கும் மத்திய அதிகாரியாக பணியில் இருக்கிறார்.
"
1218,"After the fire erupted, the bus driver pulled 21 passengers to safety before the explosion.
","தீ பிடித்து வெடிப்பதற்கு முன்னர் பஸ் ஓட்டுனர் 21 பயணிகளை பாதுகாப்பாக வெளியேற்றினர்.
"
1219,"At the start of the 'hot phase' of the general election campaign in Germany, Chancellor Schroeder told a large meeting in Hanover last Monday that he could 'only warn against' launching a war on Iraq 'without taking into account the consequences, and without a political concept for the whole of the Middle East'. 'Whoever goes in there should know what they are getting into and what they want,' the chancellor said.
","ஹனோவர் நகரில் நடந்த உச்சகட்ட தேர்தல் பிரச்சார கூட்டத்தில் ஹெகாட் ஷ்ரோடர் பேசும் போது ''முழு மத்திய கிழக்கு சம்பந்தமாக எந்தவொரு அரசியல் முன்னோக்கு இல்லாமலும் அங்கு ஏற்படும் பின் விளைவுகளையும் பற்றி எந்தவொரு சிந்தனை இல்லாமலும் ஈராக் மீது யுத்தம் தொடுப்பது பற்றி எச்சரித்த அவர், ''யார் அங்கு போகிறார்களோ அவர்களுக்கு தெரிய வேண்டும் ஏன் அவர்கள் அங்கு செல்கிறார்கள் என்றும், என்ன தேவை அவர்களுக்கு அங்கு உண்டு எனவும்'' ஜேர்மன் அதிபர் கூறியுள்ளார்.
"
1220,"Let the floods clap their hands: let the hills be joyful together
","கர்த்தருக்கு முன்பாக ஆறுகள் கைகொட்டி, பர்வதங்கள் ஏகமாய்க் கெம்பீரித்துப் பாடக்கடவது.
"
1221,"The preponderance of post-traumatic stress disorder and depression is also alarming.'
","மிகப் பெரும் அதிர்ச்சிக்குப் பின்னான மனஅழுத்தக் கோளாறு (PTSD), மனத் தளர்ச்சி ஆகியவற்றின் அதிகரிப்பும் கூட அபாய அறிவிப்பாக இருக்கிறது.""
"
1222,"With come hither looks, dark lipstick and colorful costumes, she looks stunning in the photo stills.
","கலர்ஃபுல் காஸ்ட்யூமும், அழுத்தமான லிப்ஸ்டிக்கும், இழுக்கிற பார்வையுமாக படத்தின் ஸ்டில்களே மிரட்டுகின்றன.
"
1223,"Sarkozy and Pascal Clément, the French minister of justice, voiced particular support for European-wide legislation harmonising police access to telephone and electronic data.
","சார்கோசியும், பிரெஞ்சு நீதித்துறை அமைச்சர் பஸ்கால் கிளெமென்டும், தொலைபேசி மற்றும் எலக்டிரோனிக் தகவல் குறிப்புகள் போலீசாருக்கு கிடைப்பதில் ஒத்திசைவை உருவாக்கும் ஐரோப்பா-தழுவிய சட்டத்திற்காக குறிப்பாக ஆதரவு குரல் கொடுத்தனர்.
"
1224,"The heroine is Kajal Agarwal.
","ஹீரோயின் காஜல் அகர்வால்.
"
1225,"Perhaps I am poorly informed, but I believe that one can say without serious contradiction that the cultural life of Russia is as impoverished as its economy.
","சிலவேளைகளில் நான் இதைப்பற்றி குறைந்தளவில் புரிந்துகொண்டுள்ளபோதிலும், ரஷ்யாவின் கலாச்சார வாழ்க்கையானது அதன் பொருளாதாரத்தைப் போலவே வறுமை நிலைக்குத் தள்ளப்பட்டுள்ளது என நான் நம்புகிறேன்.
"
1226,"The government hasn't given any help till now.
","இப்பொழுது நான் எவ்வாறு வாழ்வேன்? அரசாங்கம் இதுவரை எந்த உதவியையும் கொடுத்தது இல்லை.
"
1227,"After being held for months in jail, the initial allegations were dropped and the six were charged over previous, unrelated bomb attacks.
","பல மாதங்களாக சிறைவைக்கப்பட்ட பின்னர் ஆரம்பக் குற்றச்சாட்டுகள் விலக்கிக்கொள்ளப்பட்ட அதேவேளை, அந்த அறுவரும் சம்பந்தமில்லாத முன்னர் இடம்பெற்ற குண்டுத்தாக்குதல்களுக்காக குற்றம் சாட்டப்பட்டனர்.
"
1228,"Nonetheless, I really believe that this is the worst government we have ever had and we need to bring down Sharon.
","ஆயினும், நானறிந்த வரை இதுவே மட்டமான ஆட்சி நாம் ஷரோனை கீழ் இறக்க வேண்டும்.
"
1229,"The Airbus restructuring plan has led to substantial tensions between France and Germany.
","எயர்பஸ்ஸின் மறுசீரமைப்பு திட்டம் பிரான்சிற்கும் ஜேர்மனிக்கும் இடையே கணிசமான அழுத்தங்களுக்கு வழிவகுத்துள்ளது.
"
1230,"And it was so, when Elisha the man of God had heard that the king of Israel had rent his clothes, that he sent to the king, saying, Why have you rent your clothes? let him come now to me, and he shall know that there is a prophet in Israel.
","இஸ்ரவேலின் ராஜா தன் வஸ்திரங்களைக் கிழித்துக்கொண்ட செய்தியைத் தேவனுடைய மனுஷனாகிய எலிசா கேட்டபோது, அவன்: நீர் உம்முடைய வஸ்திரங்களைக் கிழித்துக்கொள்வானேன்? அவன் என்னிடத்தில் வந்து, இஸ்ரவேலிலே தீர்க்கதரிசி உண்டென்பதை அறிந்துகொள்ளட்டும் என்று ராஜாவுக்குச் சொல்லியனுப்பினான்.
"
1231,"Standing on the deck of a US aircraft carrier in May, Cheney warned that the huge American naval presence in the Persian Gulf was aimed at sending a clear message that the US would 'keep the sea lanes open' and 'stand with others to prevent Iran from gaining nuclear weapons and dominating the region'.
","அமெரிக்க விமானத் தளத்தை கொண்ட கடற்படைக் கப்பலில் மே மாதம் பேசிய செனி பாரசீக வளைகுடாவில் இருக்கும் பெரும் அமெரிக்க கடற்படை இருப்பு அமெரிக்கா ""கடல் பாதைகள் திறந்திருப்பதற்கு உதவும்"" மற்றும் ""மற்றவர்களோடு இணைந்து இப்பகுதியில் ஈரான் அணுவாயுதங்கள் பெற்று ஆதிக்க நிலைக்கு வருவதை தடுக்கும் வகையிலும்"" ஒரு தெளிவான தகவலை கொடுக்கும் நோக்கத்தை கொண்டது என்று எச்சரித்திருந்தார்.
"
1232,"A small group of protestors managed briefly to gather outside the British Embassy.
","பிரித்தானியத் தூதரகத்துக்கு வெளியிலும் சிறியளவிலான கண்டனக்காரர்கள் கூடியிருந்தனர்.
"
1233,"But Peter said, Not so, Lord; for I have never eaten any thing that is common or unclean.
","அதற்குப் பேதுரு: அப்படியல்ல, ஆண்டவரே, தீட்டும் அசுத்தமுமாயிருக்கிற யாதொன்றையும் நான் ஒருக்காலும் புசித்ததில்லை என்றான்.
"
1234,"Providing a glimpse into the depths of depravity to which the US media has sunk, Leslie Stahl of CBS News's prestigious 60 Minutes program queried Rumsfeld Sunday night on the advisability of torturing or killing Hussein.
","ஞாயிறு இரவு CBS- செய்திப்பிரிவின் கெளரவமிக்க 60-நிமிடங்கள் நிகழ்ச்சியில் லெஸ்லீ ஸ்டால் (Leslie Stahl) ரம்ஸ் பீல்ட்டிடம், ஹூசைனை கொல்வதா அல்லது சித்ரவதை செய்வதா இதில் எது விரும்பத்தக்கது என்ற பாணியில் கேள்வி ஒன்றை கேட்டார். ''முழுக் கேள்வியையும் நான் எழுப்புகிறேன்.
"
1235,"After cinema, Chiranjeevi's next favorite must be A R Murugadoss.
","சிரஞ்சீவிக்கு ரொம்ப பிடித்த விஷயம் சினிமாவுக்கு அடுத்தபடி ஏ.ஆர். முருகதாஸாகதான் இருக்கவேண்டும்.
"
1236,"But as the newspaper conceded, 'there is no guarantee, however, that teachers will automatically be able to transfer to other schools, since the final decision will be in the hands of head teachers and governors.'
","""எவ்வாறிருப்பினும், இறுதி முடிவு தலைமை ஆசிரியர்கள் மற்றும் ஆளுநர்களின் கைகளில் இருப்பதால், ஆசிரியர்கள் தானாகவே பிற பள்ளிகளுக்கு மாற்றக்கொள்ள முடியும் என்பதற்கு எந்த உத்தரவும் கிடையாது"" என்று அந்த பத்திரிகை ஒத்துக்கொண்டிருந்தது.
"
1237,"Their proposal would expand the issuance of visas to 'the world's best and brightest' - those most likely to generate high incomes - while introducing 'a rational system for admitting lower-skilled workers.'
","இத்திட்டம் குடிவரவு அனுமதிகள் கொடுப்பதை ""உலகின் சிறந்த, மிக புத்திசாலித்தனமானவர்களுக்கு"" விரிவாக்கும். எவர் அதிக வருமானங்களை தோற்றுவிக்க முடியுமோ அவர்களுக்கு கொடுப்பதுடன், அதே நேரத்தில் ""குறைந்த திறமை உடைய தொழிலாளர்களை அனுமதிக்கும் பகுத்தறிவார்ந்த முறையும்"" அறிமுகப்படுத்தப்படும்.
"
1238,"This is the grossest of lies....
","இவை மாபெரும் பொய்களாகும்....
"
1239,"The Bush administration chose to go to war with Iraq because it knew that the country was bled white, devastated by the sanctions, incapable of serious military resistance, and, consequently, ripe for the taking.
","ஈராக்கிடம் வலிமை எதுவுமில்லை அந்த அளவிற்கு உறிஞ்சப்பட்டுவிட்டது, பொருளாதாரத் தடைகளால் சீரழிந்துவிட்ட அந்த நாடு கடுமையான முறையில் இராணுவ அடிப்படையில் எதிர்ப்புகாட்ட முடியாது எனவே அந்த நாட்டை பிடித்துக்கொள்வதற்கு இதுதான் பொருத்தமான நிலை என்று தெரிந்தே புஷ் நிர்வாகம் படையெடுத்துச்செல்ல முடிவு செய்தது.
"
1240,"As parliamentary speaker, the RC chairman Fausto Bertinotti has the job of freeing up the government to carry out its work.
","நாடாளுமன்ற சபாநாயகர் என்ற முறையில், RC தலைவர் (Fausto Bertinotti) பாஸ்டோ பெர்டிநோட்டி அரசாங்கம் தனது பணிகளை மேற்கொள்வதற்கு, சுதந்திரமாக செயல்பட வகை செய்யும் பணியை மேற்கொண்டிருக்கிறார்.
"
1241,"However, it is the union officials who allowed themselves to be hoodwinked.
","எவ்வாறிருப்பினும், தங்களை ஏமாற்ற அனுமதிக்கும் சங்க அதிகாரிகளும் இருக்கிறார்கள்.
"
1242,"Which did eat the fat of their sacrifices, and drank the wine of their drink offerings? let them rise up and help you, and be your protection.
","அவைகள் எழுந்து உங்களுக்குச் சகாயம்பண்ணி உங்களுக்கு மறைவிடமாயிருக்கட்டும்.
"
1243,"The husband, whom she thought was dead, stands alive in front of her after 5 years.
","இறந்துவிட்டதாக கருதும் கணவன் 5 வருடங்களுக்கு பிறகு கண்முன்னால் வந்து நிற்கிறான்.
"
1244,"Over 300 were arrested.
","300 க்கும் மேற்பட்டோர் கைதுசெய்யப்பட்டனர்.
"
1245,"Continental AG generates three times as much revenue as the Schaeffler.
","Schaeffler ஐப் போல் மூன்று மடங்கு வருவாயை Continental AG ஈட்டுகிறது.
"
1246,"The NSIDC speculates that the transition to younger sea ice began in 1970s, and notes that the older sea ice is essential in maintaining the stability of summer sea ice in the Arctic.
","NSIDC ஊகத்தின்படி 1970 களில் இளைய புதிய பனிக்கட்டிக்கு மாற்றம் பெறுவது நிகழ்ந்தது; மேலும் பழைய கடல் உறைபனிக்கட்டி ஆர்ட்டிக் பகுதியில் கோடை காலத்தில் கடல் உறைபனிக்கட்டியின் உறுதியை தக்க வைக்க இன்றியமையாதது என்றும் கூறுகின்றனர்.
"
1247,"Go you, get you straw where you can find it: yet not ought of your work shall be diminished.
","நீங்களே போய் உங்களுக்கு அகப்படுகிற இடங்களில் வைக்கோல் சம்பாதியுங்கள்; ஆனாலும் உங்கள் வேலையில் ஒன்றும் குறைக்கப்படுவதில்லை என்று பார்வோன் சொல்லுகிறார் என்றார்கள்.
"
1248,"In the first several months following the September 11 attacks, more than 600 Arab and Muslim immigrants were deported from the US.
","செப்டம்பர்-11ந் தேதி தாக்குதல்களைத் தொடர்ந்து பல மாதங்கள் வரை மேற்கொள்ளப்பட்ட நடவடிக்கைகளில் 600-க்கு மேற்பட்ட அரபு மற்றும் முஸ்லீம் மக்கள் அமெரிக்காவில் இருந்து திருப்பி அனுப்பப்பட்டனர்.
"
1249,"It is this fetid political atmosphere that has produced the bomb blasts in Bombay.
","இந்த சிக்கலான அரசியல் சூழ்நிலைதான் மும்பையில் குண்டுவெடிப்புக்களை உருவாக்கி இருக்கிறது.
"
1250,"The recognition of truth as the correspondence of subjective thought with objective properties and processes of social being is the essential basis of scientific historical consciousness.
","உண்மையை அகநிலையான சிந்தனையை புறநிலை இருப்புக்களுடன் தொடர்புபடுத்தி நோக்குவதை ஏற்றுக்கொள்வதையும், மற்றும் சமூக இருப்பின் போக்குமே விஞ்ஞான வரலாற்று உணர்மைக்கு முக்கிய மையமாக இருப்பதாகும்.
"
1251,"But what has happened is the risk that was sent out the front door has come in the back because the risky debts have been purchased by off-balance sheet organisations set up by the banks - so-called 'structured investment vehicles' (SIVs).
","ஆனால் இந்த இழப்பு ஆபத்து முன்கதவு வழியே வெளியே அனுப்பப்பட்டு பின் கதவு வழியே திரும்ப வந்துவிட்டது; ஏனெனில் ஆபத்து நிறைந்த கடன்கள் இருப்பு நிலைக் குறிப்பிற்கு வெளியே அமைப்புக்களை நிறுவிய வங்கிகளால் வாங்கப்பட்டன --அவைதான் ""கட்டமைக்கப்பட்ட முதலீட்டுக் கருவிகள் (Structured investment vehicles (SIVs).
"
1252,"Spain has a corporate tax rate of 35 percent, compared with an average across the 25 states of 25 percent.
","ஸ்பெயினில் பெருவணிகத்தின் மீதான வரி 35 சதவிகிதமாக உள்ளது; 25 மாநிலங்களில் சராசரியாக இது 25 சதவிகிதம் என்று உள்ளது.
"
1253,"An ETUC statement noted: 'The President also recalled how important the work of the European social partners is and how their capacity to conclude agreements amongst themselves could accelerate the process and enhance the acceptability of reforms.
","ஒரு ETUC அறிக்கை குறிப்பிட்டது: ""ஐரோப்பிய சமூக பங்காளிகளின் பணி எவ்வளவு முக்கியம் என்பதையும் ஜனாதிபதி நினைவு கூர்ந்தார்; எப்படி அவற்றின் திறன், ஒப்பந்தங்களை தங்களுக்குள்ளேயே முடிக்கக்கூடிய திறனுடையது, சீர்திருத்தங்களை ஏற்கும் வழிவகை, அதன் விரிவாக்கம் பற்றியும் உள்ளது என்று குறிப்பிட்டார்.
"
1254,"Last Tuesday, President Saakashvili opened a new army base in central Georgia.
","கடந்த செவ்வாயன்று, ஜனாதிபதி சாகேஷ்விலி ஒரு புதிய இராணுவத் தளத்தை மத்திய ஜோர்ஜியாவில் தொடக்கி வைத்தார்.
"
1255,"Bam's most well-known tourist attraction, a seventeenth century, 38-tower mud-brick citadel, was destroyed.
","பாம் நகரத்தின் மிகப்பிரபலமான சுற்றுலா மையம் 38 மாடிகளைக் கொண்ட செங்கற்களால் அமைக்கப்பட்ட கோட்டையாகும்.
"
1256,"Moreover, Beijing is acutely aware that protests in Tibet have the potential to trigger wider social discontent over unemployment and the highest levels of inflation in 12 years.
","இது தவிர, திபெத்தில் போராட்டங்கள் 12 வருடங்களில் வேலை இல்லாத் திண்டாட்டமும், பணவீக்க விகிதமும் மிக உயர்ந்த நிலைகளுக்கு சென்றிருப்பதன் மீதான சமூக அதிருப்தியை பரவலாக்கக் கூடும் என்பதனை சீனா நன்கு அறிந்தே வைத்துள்ளது.
"
1257,"In a courageous stand, a group of rail workers based in Motherwell, Scotland, have refused to drive a freight train loaded with military supplies for the British government's war against Iraq.
","ஒரு துணிவான நிலையில், ஸ்கொட்லாந்தில், மதர்வெல்லைத் தளமாகக் கொண்ட இரயில் தொழிலாளர்களின் குழு ஒன்று, ஈராக்கிற்கு எதிரான பிரிட்டிஷ் அரசாங்கத்தின் போருக்கான இராணுவ தளவாட அளிப்புக்களை நிரப்பிய வாடகை இரயில் வண்டியை ஓட்ட மறுத்திருக்கின்றது.
"
1258,"For Bank of America, this is about 20,000 times the amount the bank has agreed to set aside for the Republic workers - a sum that is merely a fraction of the annual compensation of the top executives.
","பாங்க் ஆப் அமெரிக்காவை பொறுத்தவரை இந்தத் தொகை Republic தொழிலாளர்களுக்கு ஒதுக்க ஒப்புக் கொண்டுள்ள பணத்தைப் போல் 20,000 மடங்கு அதிகம் ஆகும். உண்மையில் இந்தத் தொகைகூட உயர்மட்ட நிர்வாகிகளுக்குக் கொடுக்கப்படும் ஆண்டு ஊதியத் தொகையில் ஓர் அற்ப விகிதமே ஆகும்.
"
1259,"'Captain Prabakaran,' 'Ezhai Jaadhi,' are some off Vijayakanth's films for which Liaqat Ali Khan has written dialogues.
","'கேப்டன் பிராபகரன்', 'ஏழை ஜாதி' உள்பட விஜயகாந்தின் வெற்றிப்படங்களுக்கு வசனம் எழுதியவர் லியாகத் அலிகான்.
"
1260,"Lu Jian, who immigrated to Australia from China in 1989, following the Tiananmen Square massacre in 1989, spoke with the World Socialist Web Site.
","1989-ல் தியனன்மென் சதுக்க படுகொலைகளைத் தொடர்ந்து சீனாவிலிருந்து ஆஸ்திரேலியாவிற்கு புலம்பெயர்ந்துள்ள Lu Jian உலக சோசலிச வலைத்தளத்திடம் பேசினார்.
"
1261,"Senior Pentagon and CIA officials, who spoke to the Sunday Telegraph, laid out a scenario for war against Iran, using the pretext that Tehran is aiding anti-US insurgents in Iraq and Afghanistan.
","மூத்த பென்டகன் மற்றும் CIA அதிகாரிகள், Sunday Telegraph இடம், ஈரானுக்கு எதிரான ஒரு போர்க் காட்சியை முன்வைத்து, தெஹ்ரான் ஈராக்கிலும், ஆப்கானிஸ்தானிலும் அமெரிக்க-எதிர்ப்பு எழுச்சியாளர்களுக்கு உதவிக் கொண்டிருக்கிறது என்ற போலிக் காரணத்தை கூறியுள்ளனர்.
"
1262,"No one should forget that in the late 1980s, the JVP murdered hundreds of working class militants and political opponents in the name of 'motherland first'.
","1980களின் கடைப்பகுதியில், ""தாயகம் முன்னிலையில்"" என்ற பெயரில் ஜே.வி.பி நூற்றுக்கணக்கான தொழிலாள வர்க்கப் போராளிகள் மற்றும் அரசியல் எதிர்ப்பாளர்களை படுகொலை செய்ததை எவரும் மறந்துவிடக்கூடாது.
"
1263,"On the fringes of the rally, supporters of the Socialist Equality Party had set up a series of literature tables.
","ஊர்வலத்திற்கு வெளியே சோசலிச சமத்துவக் கட்சியின் ஆதரவாளர்கள் பல கருத்துக்கள் அடங்கிய பிரசுரங்களைக் கொண்ட மேசைகளை அமைத்திருந்தனர்.
"
1264,"And they shall not profane the holy things of the children of Israel, which they offer to the LORD;
","அவர்கள் கர்த்தருக்குப் படைக்கிற இஸ்ரவேல் புத்திரருடைய பரிசுத்தமானவைகளைப் பரிசுத்தக்குலைச்சலாக்காமலும்,
"
1265,"It has long been known that sections of the West Bengal party leadership opposed the decision to withdraw support for the UPA government last July after it announced its intention to push forward with implementation of the Indo-US civilian nuclear treaty.
","மேற்கு வங்கத்தின் கட்சித் தலைமை UPA அரசாங்கத்திற்கு கடந்த ஜூலை ஆதரவை விலக்கிக் கொள்ளும் முடிவை எதிர்த்தது என்பது அனைவருக்கும் தெரிந்தது; காங்கிரஸ் இந்திய அமெரிக்க சிவிலிய அணுசக்தி ஒப்பந்தத்தை செயல்படுத்த தீவிரமாக இருக்கும் என்பது அறிவிக்கப்பட்டவுடன் இது நிகழ்ந்தது.
"
1266,"The right-wing Swiss People's Party (SVP), led by the billionaire industrialist Christoph Blocher, suffered a serious defeat in the national referendum held June 1.
","தொழில்துறை கோடீஸ்வர முதலாளி கிறிஸ்டோப் ப்ளோக்கர் தலைமையில் இருக்கும் வலதுசாரி ஸ்விஸ் மக்கள் கட்சி (SVP) ஜூன் 1ம் தேதி நடைபெற்ற தேசிய சர்வஜன வாக்கெடுப்பில் ஒரு குறிப்பிடத்தக்க தோல்வியை அடைந்தது.
"
1267,"Whatever the immediate outcome, the US experience demonstrates that the danger of reactionary groups like Core holding back scientific and medical advances should not be minimised.
","உடனடி விளைவு எதுவாயினும் சரி, கோர் குழு போன்ற அபாயமிக்க பிற்போக்கு குழுக்களால் முடக்கப்பட உள்ள விஞ்ஞான மற்றும் மருத்துவ முன்னேற்றங்கள் சிறிதளவும் குறைக்கப்படக்கூடாது என்பதைத்தான் அமெரிக்காவின் அனுபவம் காட்டுகின்றது. See Also :
"
1268,"As France's political elite vacillated between empty promises of 'action' on unemployment and threats of even more severe repression, a document published on the Internet by the anti-racist site Les mots sont importants (lmsi.net - Words are Important) provides an eyewitness account of police provocation on the ChÃªne-Pointu housing estate.
","பிரான்சின் அரசியல் உயர் தட்டுக்கள், வேலையின்மை பற்றி ""நடவடிக்கை"" எடுப்பது என்னும் வெற்று உறுதிமொழிகளுக்கும் -- இன்னும் கடுமையான அடக்குமுறை கையாளப்படும் என்ற அச்சுறுத்தல்களுக்கும் இடையே ஊசலாடிக் கொண்டிருக்கும்போது, இனவாத எதிர்ப்பு Les mots sont importants (lmsi.net--Words are Important சொற்கள் மிக முக்கியமானவை) ஆல் இணையத்தில் வெளியிடப்பட்டுள்ள ஆவணம் ஒன்று Chêne-Pointu குடியிருப்பில் போலீஸ் ஆத்திரமூட்டல் பற்றி நேரடி சாட்சியை வெளியிட்டுள்ளது.
"
1269,"Accordingly, the 'DSP is not campaigning for ‘troops out' at this stage' even though, as Boyle acknowledged, 'Australian imperialism's purpose in this intervention is to maintain order in the region in its role as regional ‘sheriff' to the major imperialist powers, defending the general interests of imperialism and capitalism as well as the direct interests of Australian business in the region.'
","இதையொட்டி ""ஆஸ்திரேலிய ஏகாதிபத்தியத்தின் தலையீட்டின் நோக்கம் முக்கிய ஏகாதிபத்திய சக்திகளுக்கு அப்பகுதியில் வட்டார ""பொலிஸ் அதிகாரியாக"" இருப்பதாகும்; ஏகாதிபத்தியம், முதலாளித்துவம் இரண்டின் பொது நலன்களை காத்தும், ஆஸ்திரேலிய வணிகர்களின் நேரடி நலன்களை அப்பகுதியில் காத்திடவும் வேண்டும்."" என்பதை போய்ல் ஒப்புக்கொள்கின்றபோதிலும் ""DSP இந்தக் கட்டத்தில் ""படைகள் வெளியேறவேண்டும்"" என்ற பிரச்சாரத்தை விரும்பவில்லை"".
"
1270,"If I deliver something in a hurry, I'm the one who will get a bad name.
","தோசை சுடுவதுமாதிரி உடனே ரெக்கார்டிங் செய்தால் எனக்குதான் கெட்ட பெயர்.
"
1271,"That your alms may be in secret: and your Father which sees in secret himself shall reward you openly.
","அப்பொழுது அந்தரங்கத்தில் பார்க்கிற உன் பிதா தாமே உனக்கு வெளியரங்கமாய்ப் பலனளிப்பார்.
"
1272,"Duke Aholibamah, duke Elah, duke Pinon,
","அகோலிபாமாள் பிரபு, ஏலா பிரபு, பினோன் பிரபு,
"
1273,"Let them be ashamed and confounded that seek after my soul: let them be turned backward, and put to confusion, that desire my hurt.
","என் பிராணனை வாங்கத்தேடுகிறவர்கள் வெட்கி நாணுவார்களாக; எனக்குத் தீங்குவரும்படி விரும்புகிறவர்கள் பின்னிட்டுத் திரும்பி இலச்சையடைவார்களாக.
"
1274,"But this process could have happened in two opposite ways: either in favor of socialism, or in favor of capitalism.
","இந்த நிகழ்ச்சிப்போக்கு இரண்டு வழிகளில் ஒன்றுக்கொன்று எதிரான வழிகளில் நடந்திருக்கலாம்.
"
1275,"One demonstrator was said to have received serious injuries after being hit by a bullet-like projectile.
","குண்டு போல் ஒரு பொருள் வந்து தாக்கியதில் ஒரு ஆர்ப்பாட்டக்காரர் படுகாயமுற்றிருப்பதாகக் கூறப்படுகிறது.
"
1276,"The US occupation has faced continual resistance in Ninevah since the 2003 invasion.
","2003ம் ஆண்டு தாக்குதில் இருந்து அமெரிக்க ஆக்கிரமிப்பு நயன்வாஹில் தொடர்ச்சியான எதிர்ப்பை சந்தித்திருக்கிறது.
"
1277,"They are carrying out a senseless devastation of life in a place that the people of this country cannot see and do not know.'
","இந்த நாட்டு மக்கள் பார்க்க முடியாத மற்றும் அறிந்திராத இடத்தில் வாழ்வை அர்த்தமற்ற விதத்தில் சீரழிப்பதை அவர்கள் செய்து கொண்டிருக்கிறார்கள்.""
"
1278,"Surya is acting in 'Aadhavan' directed by KS Ravi Kumar.
","கே.எஸ்.ரவிக்குமார் இயக்கத்தில் சூர்யா நடிக்கும் படம் 'ஆதவன்'.
"
1279,"So, he wrote to Rajini not to do any smoking scenes on screen.
","அதனால், இனி சினிமாவில் சிகரெட் பிடிக்காதீர்கள் என ரஜினிக்கு கடிதம் எழுதினார்.
"
1280,"It calls for a break with the Democrats and all parties that stand with one or both feet in the camp of capitalism.
","முதலாளித்துவ முகாமில் தங்களது இரண்டு கால்களை அல்லது ஒரு காலை மட்டுமே ஊன்றிக்கொண்டு நிற்கின்ற ஜனநாயக கட்சி மற்றும் எல்லா கட்சிகளிலிருந்தும் முறித்துக் கொள்ளுமாறு மாநாடு கேட்டுக்கொள்கிறது.
"
1281,"An angry crowd blocked the road and stoned arriving army vehicles, demanding that the soldiers involved be brought to justice.
","ஆத்திரமடைந்த ஒரு கூட்டம் சம்பந்தப்பட்ட படையினரை நீதியின் முன் நிறுத்துமாறு கோரி பாதைகளை தடை செய்ததோடு அங்கு வந்த இராணுவ வாகனங்களுக்கும் கல்லெறிந்தது.
"
1282,"'The international powers are now in the process of proposing ‘ceasefires', not out of any concern about the fate of this people.
","""சர்வதேச சக்திகள் இப்போது 'யுத்த நிறுத்தத்தை' பிரேரிக்கும் நடவடிக்கையில் ஈடுபடுவது, இந்த மக்களின் தலைவிதி பற்றிய கவலையினால் அல்ல.
"
1283,"According to one of the army's own investigations, led by Major General George Fay, by December 2002 'interrogators in Afghanistan were removing clothing, isolating people for long periods of time, using stress positions, exploiting fear of dogs and implementing sleep and light deprivation.'
","இராணுவத்தின் சொந்த விசாரணைகளில் ஒன்றை மேஜர் ஜெனரல் ஜோர்ஜ் பே என்பவர் நடத்தியிருக்கிறார். 2002 டிசம்பரில் நடத்தப்பட்ட இந்த விசாரணையில், ""ஆப்கானிஸ்தானில் விசாரணை செய்பவர்கள் கைதிகளின் ஆடைகளை நீக்கிவிட்டு தனிமைச் சிறையில் நீண்ட நேரத்திற்கு வைத்திருந்திருக்கிறார்கள்.
"
1284,"The pretense that this war is being waged to defend Israel from terrorism or even to destroy the Shiite Hezbollah movement is belied by the Israeli bombing campaign that is now striking targets and claiming victims far from the Shiite centers of south Lebanon and the southern suburbs of Beirut.
","இந்தப் போர் இஸ்ரேலை பயங்கரவாதத்தில் இருந்து காப்பதற்கு எனக் கூறப்படும், அல்லது ஷியைட் ஹெஸ்பொல்லா இயக்கத்தை அழிப்பதற்கு எனக்கூடக் கூறப்படும் போலிக் காரணத்தை, தெற்கு லெபனானில் ஷியைட் மையப் பகுதிகளில் இருந்தும் பெய்ரூட்டின் தெற்குப் புறநகரங்களில் இருந்தும் மிகத் தொலைவில் உள்ள இலக்குகள் இஸ்ரேலிய குண்டு வீச்சுக்களால் தாக்கப்படுவதும், சேதப்படுத்தப்படுவதும் பொய்யென காட்டுகிறது.
"
1285,"In the course of the latest election campaign, the narrow outlook of LO, limited to the most immediate trade union issues, occasionally took bizarre forms.
","சமீபத்திய தேர்தல் பிரச்சாரத்தின்போது, மிக உடனடியான தொழிற்சங்க பிரச்சினைகளில் மட்டுப்படுத்தக்கூடியதாய் இருந்த, Lutte Ouvrière இன் குறுகிய கண்ணோட்டம் அவ்வப்போது இயல்புக்கு மீறிய வடிவங்களை எடுத்தது.
"
1286,"I am also directing another film now that has no title as yet.
","எனது இயக்கத்தில் பெயரிடப்படாத மற்றொரு படத்தின் படப்பிடிப்பும் நடந்து வருகிறது.
"
